,Kurtosis Value
schoolcode,-1.2244320758481924
price,5121.912845789956
recorddate_month,-1.0893057202557432
recorddate_year,75306.14602981856
recorddate_day_of_month,-1.229460988637423
saledate_month,-1.0773154068922906
saledate_year,-1.195469534023746
saledate_day_of_month,-1.2107032636464956
deedbook_id,-1.188346589205694
schooldesc_id,-1.277825820430722
instrtyp_id,-0.9810813097666036
saledesc_id,-1.3401109196979033
propertyfraction_id,116.88803203617785
deedpage_id,-1.1786170857730511
munidesc_id,-1.1278952159125528
propertyzip_id,-1.1762864288465325
propertyaddresssuf_id,-1.697095076899332
municode_id,-0.9612353663790216
propertycity_id,0.9708591454296709
