,credit_score,vehicle_ownership,married,children,postal_code,annual_mileage,speeding_violations,duis,past_accidents,outcome,education_id,gender_id,vehicle_year_id,type_of_vehicle_id,driving_experience_id,age_id,income_id
count,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0,99832.0
mean,0.6022343244280814,0.8267188877313887,0.5834902636429201,0.5196930843817613,18018.40710393461,11103.383684590111,0.5574064428239442,0.08727662472954564,0.4046297780270855,0.4227201698854075,2.0374629377353957,1.3778648128856479,1.4522998637711355,2.701228063146085,2.3597944546838687,2.4810782113951437,2.885357400432727
std,0.1379588768097623,0.3784920122966299,0.49298256590344436,0.49961453419105434,16680.658817794683,2895.120875709519,0.9803643812187877,0.40578796141209555,0.8927523411119608,0.49399420266516286,0.7448062772485601,0.4848560104589105,0.4977219891107408,1.0374267029200797,1.2552842019897423,1.2328792936859172,1.242520935422907
min,0.0668800479291154,0.0,0.0,0.0,10238.0,3000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,0.25417581186136684,0.0,0.0,0.0,10238.0,3000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10%,0.42475649839056634,0.0,0.0,0.0,10238.0,7000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,0.5149847108892718,1.0,0.0,0.0,10238.0,9000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
50%,0.601188466393627,1.0,1.0,1.0,10238.0,11000.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0
75%,0.7030570028840449,1.0,1.0,1.0,22249.0,13000.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0
90%,0.7805375338158749,1.0,1.0,1.0,34865.0,14000.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0
99%,0.9037911249467181,1.0,1.0,1.0,92101.0,17000.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0
max,0.9540753785117584,1.0,1.0,1.0,92101.0,19000.0,5.0,3.0,5.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0
