,Kurtosis Value
credit_score,-0.03654341584083909
vehicle_ownership,0.980679644456083
married,-1.8853054076832272
children,-1.9938250353740548
postal_code,10.013324356139394
annual_mileage,-0.06531397168468889
speeding_violations,4.782376757124174
duis,30.869317046203065
past_accidents,8.459481551981291
outcome,-1.9021418686785916
education_id,-1.195806824786766
gender_id,-1.7462105476549454
vehicle_year_id,-1.9632990090349243
type_of_vehicle_id,-1.0959269463686179
driving_experience_id,-1.5822723515196064
age_id,-1.597805891134968
income_id,-1.415499177094776
