,months_as_customer,customer_age,policy_bind_date,policy_annual_premium,umbrella_limit,capital_gains,capital_loss,incident_date,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,policy_bind_date_month,policy_bind_date_year,policy_bind_date_day_of_month,incident_date_month,incident_date_year,incident_date_day_of_month,insured_education_level_id,incident_city_id,property_damage_id,insured_hobbies_id,policy_csl_id,insured_relationship_id,incident_state_id,incident_type_id,insured_sex_id,incident_severity_id,authorities_contacted_id,insured_occupation_id,policy_deductable_id,police_report_available_id,policy_state_id,collision_type_id,auto_make_id,auto_year_id,auto_model_id,fraud_reported_id
count,1000.0,1000.0,1000,1000.0,1000.0,1000.0,1000.0,1000,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
unique,-,-,951,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
top,-,-,1992-08-05,-,-,-,-,2015-02-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
freq,-,-,3,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mean,203.954,38.948,-,1256.4061500000003,1101000.0,25126.1,-26793.7,-,11.644,1.839,0.992,1.487,52761.94,7433.42,7399.57,37928.95,6.559,2001.604,15.448,1.496,2015.0,14.995,3.836,4.053,1.942,10.617,1.951,3.517,4.17,2.493,1.537,2.522,3.14,7.303,1.956,1.971,2.014,2.476,7.496,10.884,20.059,1.753
std,115.11317442815538,9.140286693580286,-,244.167394961407,2297406.598118208,27872.18770813725,28104.096686436318,-,6.951372928104605,1.0188803252183827,0.8201271905068194,1.1113352626755195,26401.533190161346,4880.951853337071,4824.726178530528,18886.252893198423,3.499823962396933,7.3603912504267965,8.808000730976177,0.5236967235511965,0.0,8.670995396213815,2.0062724463863653,2.0010485239481812,0.8119700088644255,5.724778081645093,0.8045161566098261,1.7060544017180759,1.9801568172801418,0.7788180516382228,0.4988786223921405,1.2292383930820854,1.5610371029661134,3.976556802562237,0.8103830703566806,0.8104417411608411,0.8309599836902465,1.1448732395923729,3.905026662294796,6.1842371226197965,10.93439893547332,0.4314825340348983
min,0.0,19.0,-,433.33,-1000000.0,0.0,-111100.0,-,0.0,1.0,0.0,0.0,100.0,0.0,0.0,70.0,1.0,1990.0,1.0,1.0,2015.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,4.0,23.0,-,694.2247000000001,0.0,0.0,-85914.0,-,0.0,1.0,0.0,0.0,2699.4,0.0,0.0,1979.8,1.0,1990.0,1.0,1.0,2015.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10%,58.900000000000006,28.0,-,953.9,0.0,0.0,-65510.0,-,2.0,1.0,0.0,0.0,5756.0,639.0,650.0,4157.0,2.0,1991.0,4.0,1.0,2015.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0
25%,115.75,32.0,-,1089.6075,0.0,0.0,-51500.0,-,6.0,1.0,0.0,1.0,41812.5,4295.0,4445.0,30292.5,3.0,1995.0,8.0,1.0,2015.0,7.75,2.0,2.0,1.0,6.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,11.0,2.0
50%,199.5,38.0,-,1257.1999999999998,0.0,0.0,-23250.0,-,12.0,1.0,1.0,1.0,58055.0,6775.0,6750.0,42100.0,7.0,2002.0,16.0,1.0,2015.0,15.0,4.0,4.0,2.0,11.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,7.0,2.0,2.0,2.0,2.0,7.0,11.0,20.0,2.0
75%,276.25,44.0,-,1415.6950000000002,0.0,51025.0,0.0,-,17.0,3.0,2.0,2.0,70592.5,11305.0,10885.0,50822.5,10.0,2008.0,23.0,2.0,2015.0,22.0,6.0,6.0,3.0,15.0,3.0,5.0,7.0,3.0,2.0,4.0,5.0,11.0,3.0,3.0,3.0,4.0,11.0,16.0,29.0,2.0
90%,371.0,53.0,-,1564.7240000000002,6000000.0,64420.00000000001,0.0,-,21.0,3.0,2.0,3.0,81364.0,14380.0,14142.0,58728.0,11.0,2012.0,28.0,2.0,2015.0,27.0,7.0,7.0,3.0,18.0,3.0,6.0,7.0,3.0,2.0,4.0,5.0,13.0,3.0,3.0,3.0,4.0,13.0,19.0,35.0,2.0
99%,467.01,61.0,-,1851.8764999999999,8000000.0,83603.0,0.0,-,23.0,4.0,2.0,3.0,101018.49999999999,17682.0,19471.8,73263.59999999999,12.0,2014.0,31.0,3.0,2015.0,31.0,7.0,7.0,3.0,20.0,3.0,6.0,7.0,4.0,2.0,4.0,5.0,14.0,3.0,3.0,3.0,4.0,14.0,21.0,39.0,2.0
max,479.0,64.0,-,2047.59,10000000.0,100500.0,0.0,-,23.0,4.0,2.0,3.0,114920.0,21450.0,23670.0,79560.0,12.0,2015.0,31.0,3.0,2015.0,31.0,7.0,7.0,3.0,20.0,3.0,6.0,7.0,4.0,2.0,4.0,5.0,14.0,3.0,3.0,3.0,4.0,14.0,21.0,39.0,2.0
