,Kurtosis Value
months_as_customer,-0.48542806739146993
customer_age,-0.26025501504003934
policy_annual_premium,0.07388944020776123
umbrella_limit,1.792077309867199
capital_gains,-1.276703510816485
capital_loss,-1.3138745001493806
incident_hour_of_the_day,-1.1929401516777653
number_of_vehicles_involved,-1.5004665608960173
bodily_injuries,-1.5131780655424827
witnesses,-1.3436289692221157
total_claim_amount,-0.45408142669809193
injury_claim,-0.7630870610902973
property_claim,-0.37638631173052817
vehicle_claim,-0.44657292312114905
policy_bind_date_month,-1.2297790707405882
policy_bind_date_year,-1.2124121328860424
policy_bind_date_day_of_month,-1.2247735887625402
incident_date_month,-1.361121228572351
incident_date_year,0.0
incident_date_day_of_month,-1.1391209203366808
insured_education_level_id,-1.260108149390901
incident_city_id,-1.221253170808823
property_damage_id,-1.4756251758803565
insured_hobbies_id,-1.2032144450545477
policy_csl_id,-1.4495975801128784
insured_relationship_id,-1.2494693570659052
incident_state_id,-1.3439152361339715
incident_type_id,-0.40383887616567193
insured_sex_id,-1.9818769085594083
incident_severity_id,-1.5994844314857573
authorities_contacted_id,-1.5486915169587838
insured_occupation_id,-1.1641119558145772
policy_deductable_id,-1.4728806409299477
police_report_available_id,-1.4755172865984625
policy_state_id,-1.5515966285047686
collision_type_id,-1.4130523193548616
auto_make_id,-1.1469101596471687
auto_year_id,-1.249547098197521
auto_model_id,-1.0949542859023993
fraud_reported_id,-0.6204999088576897
