,Number of Null Values
months_as_customer,0
customer_age,0
policy_bind_date,0
policy_annual_premium,0
umbrella_limit,0
capital_gains,0
capital_loss,0
incident_date,0
incident_hour_of_the_day,0
number_of_vehicles_involved,0
bodily_injuries,0
witnesses,0
total_claim_amount,0
injury_claim,0
property_claim,0
vehicle_claim,0
policy_bind_date_month,0
policy_bind_date_year,0
policy_bind_date_day_of_month,0
incident_date_month,0
incident_date_year,0
incident_date_day_of_month,0
insured_education_level_id,0
incident_city_id,0
property_damage_id,0
insured_hobbies_id,0
policy_csl_id,0
insured_relationship_id,0
incident_state_id,0
incident_type_id,0
insured_sex_id,0
incident_severity_id,0
authorities_contacted_id,0
insured_occupation_id,0
policy_deductable_id,0
police_report_available_id,0
policy_state_id,0
collision_type_id,0
auto_make_id,0
auto_year_id,0
auto_model_id,0
fraud_reported_id,0
