,price,beds,baths,property_location,square_feet,lot_size,days_on_market,latitude,longitude,url_source_id,zip_or_postal_code_id,state_or_province_id,sales_status_id,property_type_id,sale_type_id
count,18283.0,18283.0,18283.0,18283,18283.0,18283.0,18283.0,18283.0,18283.0,18283.0,18283.0,18283.0,18283.0,18283.0,18283.0
unique,-,-,-,2362,-,-,-,-,-,-,-,-,-,-,-
top,-,-,-,SRCAR - Southwest Riverside County,-,-,-,-,-,-,-,-,-,-,-
freq,-,-,-,912,-,-,-,-,-,-,-,-,-,-,-
mean,1211355.8065962917,3.3240715418694964,2.486503856041131,-,1977.0870207296396,8169.206311874419,50.77809987420007,34.77128430335593,-118.61427216728644,10.795657167860854,488.2232128206531,1.0,1.9979215664825247,8.314992069135263,1.0026253897062845
std,1445819.3881115685,0.9238858386765539,0.899165834192282,-,836.7746174094749,6117.128238595247,53.20894076026192,1.589416295143694,1.987012595435124,6.921665302674944,298.9050083714979,0.0,0.045543683236240536,1.766493387530342,0.07165735379894629
min,12000.0,2.0,0.5,-,1.0,1.0,1.0,32.561741,-123.115677,1.0,1.0,1.0,1.0,1.0,1.0
1%,148738.0,2.0,1.0,-,733.64,800.0,1.0,32.735330508,-122.59932664,1.0,2.0,1.0,2.0,1.0,1.0
10%,381200.00000000006,2.0,1.5,-,1064.0,2500.0,3.0,33.61720252,-122.17614422,4.0,84.0,1.0,2.0,7.0,1.0
25%,539900.0,3.0,2.0,-,1354.0,4789.0,10.0,33.7924481,-119.0466112,7.0,216.0,1.0,2.0,9.0,1.0
50%,799000.0,3.0,2.0,-,1799.0,6701.0,31.0,34.080118,-118.1127404,7.0,481.0,1.0,2.0,9.0,1.0
75%,1395000.0,4.0,3.0,-,2434.0,9417.0,71.0,35.11267375,-117.22584655,18.0,752.0,1.0,2.0,9.0,1.0
90%,2389799.999999999,5.0,3.5,-,3168.0,16192.599999999995,139.0,37.776294039999996,-116.484917,23.0,905.0,1.0,2.0,9.0,1.0
99%,6495000.0,5.0,5.0,-,4509.18,31869.40000000001,211.0,38.41623192,-116.044923138,25.0,1004.1800000000003,1.0,2.0,9.0,1.0
max,40000000.0,5.0,5.5,-,5031.0,37089.0,226.0,38.8118592,-114.3080028,25.0,1012.0,1.0,2.0,9.0,3.0
