,Kurtosis Value
mostype,-1.3599262002031625
maanthui,105.34080070336589
mgemomv,0.09887600816898523
mgemleef,0.6734561716774183
moshoofd,-1.3532483992582403
mgodrk,9.415422422333261
mgodpr,0.40468644429504863
mgodov,0.7959206129500509
mgodge,-0.004573275897226559
mrelge,0.7155715112106154
mrelsa,2.697212014457109
mrelov,0.7147982128114965
mfalleen,0.7698022149433705
mfgekind,0.4266048018792681
mfwekind,-0.19871980398754374
moplhoog,1.8563502027854648
moplmidd,0.2789086092959767
mopllaag,-0.5768708772697573
mberhoog,1.4695655487024677
mberzelf,10.958308055951107
mberboer,11.494416312836588
mbermidd,0.806192429117166
mberarbg,0.37417314613405406
mberarbo,0.4846906527040571
mska,3.3897889545780764
mskb1,3.031608506177749
mskb2,-0.21814437531482378
mskc,0.050744559094624275
mskd,1.9631596749562208
mhhuur,-1.300383641361568
mhkoop,-1.2999520181863793
maut1,0.6010563729934559
maut2,0.43283741600623094
maut0,0.7155581591245213
mzfonds,0.19941867496806287
mzpart,0.1789732087535576
minkm30,-0.1966941437397729
mink3045,0.1321534350599909
mink4575,0.6865057945408695
mink7512,4.313905227927354
mink123m,24.387292875974072
minkgem,1.300245463611982
mkoopkla,-0.8764761978319888
pwapart,-1.6976031449685403
pwabedr,118.17767186801237
pwaland,46.806368267412395
ppersaut,-1.9614458864125515
pbesaut,104.30179150277267
pmotsco,26.162361632236138
pvraaut,779.2150008105313
paanhang,157.0837298962606
ptractor,47.941797928954145
pwerkt,468.4539855588274
pbrom,12.623396906219781
pleven,22.352843031348744
ppersong,460.0470219524073
pgezong,142.6617764719822
pwaoreg,259.6557462482635
pbrand,-1.2693523089631495
pzeilpl,1569.0423146971693
pplezier,325.33842519837265
pfiets,34.489959599803285
pinboed,315.0277825374128
pbystand,82.65217458273972
awapart,-1.7433966282016742
awabedr,297.0683794410067
awaland,42.03896487382929
apersaut,15.056894559187523
abesaut,445.34304119531714
amotsco,191.68112503098024
avraaut,1825.5529905621108
aaanhang,180.78106788946448
atractor,154.5702339394184
awerkt,1278.508351585765
abrom,14.68402510645775
aleven,54.74886622897
apersong,213.3804883819648
agezong,120.99327687562037
awaoreg,380.55206779510144
abrand,3.276589304119156
azeilpl,1086.888075083037
aplezier,322.9037411564553
afiets,70.00745583582683
ainboed,127.027113715051
abystand,72.47010104532953
caravan,11.831172274772623
