,Number of Null Values
mostype,0
maanthui,0
mgemomv,0
mgemleef,0
moshoofd,0
mgodrk,0
mgodpr,0
mgodov,0
mgodge,0
mrelge,0
mrelsa,0
mrelov,0
mfalleen,0
mfgekind,0
mfwekind,0
moplhoog,0
moplmidd,0
mopllaag,0
mberhoog,0
mberzelf,0
mberboer,0
mbermidd,0
mberarbg,0
mberarbo,0
mska,0
mskb1,0
mskb2,0
mskc,0
mskd,0
mhhuur,0
mhkoop,0
maut1,0
maut2,0
maut0,0
mzfonds,0
mzpart,0
minkm30,0
mink3045,0
mink4575,0
mink7512,0
mink123m,0
minkgem,0
mkoopkla,0
pwapart,0
pwabedr,0
pwaland,0
ppersaut,0
pbesaut,0
pmotsco,0
pvraaut,0
paanhang,0
ptractor,0
pwerkt,0
pbrom,0
pleven,0
ppersong,0
pgezong,0
pwaoreg,0
pbrand,0
pzeilpl,0
pplezier,0
pfiets,0
pinboed,0
pbystand,0
awapart,0
awabedr,0
awaland,0
apersaut,0
abesaut,0
amotsco,0
avraaut,0
aaanhang,0
atractor,0
awerkt,0
abrom,0
aleven,0
apersong,0
agezong,0
awaoreg,0
abrand,0
azeilpl,0
aplezier,0
afiets,0
ainboed,0
abystand,0
caravan,0
