,zip_code_start,zip_code_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count,start_day_month,start_day_year,start_day_day_of_month,stop_day_month,stop_day_year,stop_day_day_of_month,cyclic_days_length,neighborhood_start_id,borough_start_id,borough_end_id,neighborhood_end_id,usertype_id
count,2166332.0,2166332.0,2166332,2166332,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0,2166332.0
unique,-,-,687,728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
top,-,-,2021-09-19 00:00:00,2021-09-19 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
freq,-,-,6126,6109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
first,-,-,2020-01-01 00:00:00,2020-01-01 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
last,-,-,2021-12-31 00:00:00,2022-01-14 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mean,10185.041658896236,10188.042374391367,-,-,61.92414888399996,4.067471421727568,0.11723936589584358,37.63339137306747,7.952497124171179,7.3009040165588655,2020.5505984308961,15.842945125677874,7.3011555938794235,2020.5506459767016,15.845434587126997,0.027637961309716148,6.467623152868535,2.8728971367269653,2.8701380951765474,6.591593070683533,1.7057759383141642
std,390.9467014837612,394.51098734584025,-,-,15.058950641546897,1.5800833399441814,0.33972868643309256,295.99836239824407,22.341288699665135,2.9124561061386807,0.4974333251939605,8.706386294559303,2.9127349551952855,0.4975008647449497,8.706520527975373,0.25234555705151507,4.198835442789175,0.34281485660524286,0.34588407611445265,4.3620986151563335,0.4556932730050578
min,10001.0,10001.0,-,-,9.8,0.7,0.0,0.0,1.0,1.0,2020.0,1.0,1.0,2020.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1%,10001.0,10001.0,-,-,21.4,1.2,0.0,0.0,1.0,1.0,2020.0,1.0,1.0,2020.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0
10%,10003.0,10003.0,-,-,39.4,2.1,0.0,10.0,1.0,3.0,2020.0,4.0,3.0,2020.0,4.0,0.0,1.0,2.0,2.0,1.0,1.0
25%,10009.0,10009.0,-,-,52.0,2.9,0.0,10.0,1.0,5.0,2020.0,8.0,5.0,2020.0,8.0,0.0,2.0,3.0,3.0,2.0,1.0
50%,10016.0,10016.0,-,-,64.9,3.8,0.0,20.0,2.0,7.0,2021.0,16.0,7.0,2021.0,16.0,0.0,7.0,3.0,3.0,7.0,2.0
75%,10038.0,10038.0,-,-,74.4,5.0,0.04,30.0,6.0,10.0,2021.0,23.0,10.0,2021.0,23.0,0.0,8.0,3.0,3.0,8.0,2.0
90%,11201.0,11201.0,-,-,78.3,6.3,0.35,50.0,16.0,11.0,2021.0,28.0,11.0,2021.0,28.0,0.0,12.0,3.0,3.0,13.0,2.0
99%,11238.0,11238.0,-,-,83.7,8.1,1.51,270.0,107.0,12.0,2021.0,31.0,12.0,2021.0,31.0,1.0,15.0,3.0,3.0,15.0,2.0
max,11238.0,11238.0,-,-,88.0,8.6,4.53,97740.0,576.0,12.0,2021.0,31.0,12.0,2022.0,31.0,68.0,15.0,3.0,3.0,15.0,2.0
