,Kurtosis Value
zip_code_start,2.862067120548675
zip_code_end,2.7091111326509982
day_mean_temperature,-0.04783439019263014
day_mean_wind_speed,-0.2477621111015127
day_total_precipitation,50.02579974990914
trip_minutes,24749.53767218628
trip_count,94.5902427849817
start_day_month,-0.7863468953693982
start_day_year,-1.9586146948073266
start_day_day_of_month,-1.1716439382740154
stop_day_month,-0.7863402952197731
stop_day_year,-1.9565423515766749
stop_day_day_of_month,-1.1715190344265167
cyclic_days_length,11005.518768626509
neighborhood_start_id,-0.9748571610807883
borough_start_id,5.011448795879694
borough_end_id,4.789271507274178
neighborhood_end_id,-0.9938960082316348
usertype_id,-1.1843494049327647
