,postalcode,electricrange,legislativedistrict,vehiclelocation,cafveligibility_id,electricutility_id,city_id,make_id,model_id,statename_id,county_id,electricvehicletype_id,modelyear_id
count,150137.0,150137.0,150137.0,150137,150137.0,150137.0,150137.0,150137.0,150137.0,150137.0,150137.0,150137.0,150137.0
unique,-,-,-,537,-,-,-,-,-,-,-,-,-
top,-,-,-,POINT (-122.12302 47.67668),-,-,-,-,-,-,-,-,-
freq,-,-,-,3869,-,-,-,-,-,-,-,-,-
mean,98257.88440557625,67.86397756715533,29.344225607278684,-,1.7000939142250078,41.94646889174554,221.51912586504326,22.303369589108613,63.096478549591374,1.0,19.18186722793182,1.7765107868147092,11.464662275122055
std,301.50583402224436,96.2248830299996,14.824930621793998,-,0.6682932934462479,19.531154155490302,133.2431821877591,10.186214934826506,32.44205555351046,0.0,7.533503220558447,0.4165848541088302,6.29353742304049
min,98001.0,0.0,1.0,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,98004.0,0.0,1.0,-,1.0,9.0,14.0,1.0,2.0,1.0,3.0,1.0,1.0
10%,98021.0,0.0,5.0,-,1.0,14.0,55.0,6.0,9.0,1.0,14.0,1.0,2.0
25%,98052.0,0.0,18.0,-,1.0,24.0,139.0,15.0,38.0,1.0,14.0,2.0,5.0
50%,98122.0,18.0,33.0,-,2.0,41.0,170.0,29.0,74.0,1.0,14.0,2.0,9.0
75%,98370.0,97.0,43.0,-,2.0,59.0,328.0,29.0,89.0,1.0,25.0,2.0,19.0
90%,98663.0,220.0,46.0,-,3.0,59.0,439.0,29.0,96.0,1.0,30.0,2.0,19.0
99%,99338.0,322.0,49.0,-,3.0,73.0,459.0,36.0,117.0,1.0,38.0,2.0,21.0
max,99403.0,337.0,49.0,-,3.0,75.0,461.0,37.0,127.0,1.0,39.0,2.0,22.0
