,pseudo_author_id,review_rating,review_likes,review_timestamp,review_timestamp_month,review_timestamp_year,review_timestamp_day_of_month,review_text_id,author_name_id
count,3602345,3602345.0,3602345.0,3602345,3602345.0,3602345.0,3602345.0,3602345.0,3602345.0
unique,3602345,-,-,-,-,-,-,-,-
top,233925643416649907040,-,-,-,-,-,-,-,-
freq,1,-,-,-,-,-,-,-,-
mean,-,3.305101815622879,0.0,2022-05-07 22:03:43.124672512,7.133305666170231,2021.79458075226,16.74761162520525,641914.2477513952,330372.10718795675
min,-,0.0,0.0,2009-12-17 01:45:42,1.0,2009.0,1.0,1.0,1.0
1%,-,1.0,0.0,2016-12-06 13:18:03.360000,1.0,2016.0,1.0,63.0,1350.0
10%,-,1.0,0.0,2021-06-06 13:19:27,2.0,2021.0,4.0,2101.0,12097.0
25%,-,1.0,0.0,2021-09-23 10:34:47,5.0,2021.0,9.0,17236.0,29645.0
50%,-,4.0,0.0,2022-04-28 20:03:15,7.0,2022.0,18.0,502712.0,279594.0
75%,-,5.0,0.0,2023-03-09 04:09:55,10.0,2023.0,24.0,1180194.0,576859.0
90%,-,5.0,0.0,2023-10-21 12:03:50.600000,11.0,2023.0,28.0,1609611.6,793881.0
99%,-,5.0,0.0,2023-11-09 15:53:47.120000,12.0,2023.0,31.0,1883867.56,974386.56
max,-,5.0,0.0,2023-11-18 15:33:54,12.0,2023.0,31.0,1914836.0,995932.0
std,-,1.8456889027016488,0.0,-,3.1113686932955167,1.2324918283266484,8.866954459294952,629516.5845552874,314838.8942149383
