,origindetail,num_of_units,total_weight_in_lbs,total_cost,agency_id,food_product_group_id,vendor_id,food_product_category_id,distributor_id,timeperiod_id
count,11163,11163.0,11163.0,11163.0,11163.0,11163.0,11163.0,11163.0,11163.0,11163.0
unique,4303,-,-,-,-,-,-,-,-,-
top,PACKER,-,-,-,-,-,-,-,-,-
freq,227,-,-,-,-,-,-,-,-,-
mean,-,40.13455164382334,426.25539729463407,189.8399175848786,2.824867867060826,4.830063602974111,23.679028934874136,13.024545373107587,29.112424975365045,2.3388873958613274
std,-,77.36812473434203,786.4146764013752,1182.1122604258549,2.6194559748205215,2.1478380444255323,7.0087037339475495,6.5414154416235615,13.612906603040877,0.7821808822643762
min,-,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,-,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0
10%,-,1.0,7.0,0.0,1.0,1.0,17.0,4.0,5.0,1.0
25%,-,2.0,20.0,0.0,1.0,4.0,23.0,10.0,19.0,2.0
50%,-,8.0,77.0,0.0,1.0,5.0,23.0,11.0,38.0,3.0
75%,-,39.0,400.0,0.0,7.0,7.0,23.0,21.0,38.0,3.0
90%,-,119.0,1386.0,0.0,7.0,8.0,34.0,22.0,38.0,3.0
99%,-,401.0,3763.6599999999944,5108.719999999965,7.0,8.0,34.0,24.0,43.0,3.0
max,-,521.0,4488.0,27958.0,7.0,8.0,36.0,24.0,46.0,3.0
