,Number of Null Values
cover_start,0
risk_rated_area_b,0
sum_insured_buildings,0
ncd_granted_years_b,0
risk_rated_area_c,0
sum_insured_contents,0
ncd_granted_years_c,0
spec_sum_insured,0
spec_item_prem,0
unspec_hrp_prem,0
p1_dob,0
bedrooms,0
roof_construction,0
wall_construction,0
listed,0
max_days_unocc,0
ownership_type,0
paying_guests,0
prop_type,0
last_ann_prem_gross,0
p1_dob_month,0
p1_dob_year,0
p1_dob_day_of_month,0
cover_start_month,0
cover_start_year,0
cover_start_day_of_month,0
p1_sex_id,0
subsidence_id,0
p1_mar_status_id,0
contents_cover_id,0
occ_status_id,0
p1_policy_refused_id,0
p1_emp_status_id,0
claim3years_id,0
sec_disc_req_id,0
ad_contents_id,0
appr_locks_id,0
flooding_id,0
neigh_watch_id,0
ad_buildings_id,0
safe_installed_id,0
bus_use_id,0
yearbuilt_id,0
payment_method_id,0
legal_addon_pre_ren_id,0
home_em_addon_pre_ren_id,0
home_em_addon_post_ren_id,0
garden_addon_pre_ren_id,0
garden_addon_post_ren_id,0
keycare_addon_pre_ren_id,0
keycare_addon_post_ren_id,0
hp1_addon_pre_ren_id,0
hp1_addon_post_ren_id,0
hp2_addon_pre_ren_id,0
hp2_addon_post_ren_id,0
hp3_addon_pre_ren_id,0
hp3_addon_post_ren_id,0
mta_flag_id,0
pol_status_id,0
buildings_cover_id,0
appr_alarm_id,0
legal_addon_post_ren_id,0
