,Kurtosis Value
ccs_diagnosis_code,3.6569791382309482
ccs_procedure_code,-1.4281326263727896
code_illness,-0.6410843994756132
mortality_risk,-0.8985100917903619
weight_baby,0.0
tot_charg,0.91083079777153
tot_cost,1.048089645400613
ratio_of_total_costs_to_total_charges,0.05139901406165448
results,-0.66102644123885
payment_typology,-1.1698578804221054
age_id,-0.5794122788105152
surg_description_id,-0.43336117438672694
gender_id,-1.8811849331370396
abortion_id,0.0
cultural_group_id,2.0135725797775113
hospital_county_id,-1.5343401558721543
apr_drg_description_id,-1.2522342344599715
area_service_id,-1.2778568662808651
emergency_dept_yes_no_id,-1.6936318085698414
home_or_self_care_id,5.990049262724055
ethnicity_id,7.99648463523312
admission_type_id,-1.0623329438740798
