,mailing_city_id,mailing_state_id,loa_name_id,first_name_id,last_name_or_business_name_id,zip_id
count,580781.0,580781.0,580781.0,580781.0,580781.0,580781.0
mean,4972.112131767396,37.655632673933894,5.825410955248191,14954.6596565659,29776.082311576996,40743.19635628576
std,2799.7302791984757,17.166507007935355,1.9037196729929622,8345.18452887081,19462.955450148667,30891.259153050636
min,1.0,1.0,1.0,1.0,1.0,1.0
1%,142.0,3.0,1.0,259.0,421.0,686.0
10%,1055.0,10.0,4.0,2849.0,5290.0,6886.0
25%,2590.0,27.0,4.0,7767.0,14055.0,16631.0
50%,4720.0,46.0,6.0,15238.0,28213.0,34154.0
75%,7308.0,50.0,8.0,21943.0,42158.0,55418.0
90%,8962.0,52.0,8.0,26296.0,56369.0,92977.0
99%,9727.0,61.0,8.0,28238.0,79547.19999999995,115681.0
max,9806.0,61.0,8.0,28504.0,82103.0,118209.0
