,physicalhealthdays,mentalhealthdays,sleephours,heightinmeters,weightinkilograms,bmi,alcoholdrinkers_id,ecigaretteusage_id,pneumovaxever_id,hivtesting_id,removedteeth_id,fluvaxlast12_id,smokerstatus_id,generalhealth_id,sex_id,highrisklastyear_id,lastcheckuptime_id,raceethnicitycategory_id,chestscan_id,difficultydressingbathing_id,statename_id,difficultyerrands_id,difficultywalking_id,difficultyconcentrating_id,blindorvisiondifficulty_id,deaforhardofhearing_id,haddiabetes_id,hadarthritis_id,hadkidneydisease_id,haddepressivedisorder_id,hadskincancer_id,hadasthma_id,hadstroke_id,hadangina_id,agecategory_id,hadcopd_id,hadheartattack_id,physicalactivities_id
count,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0,361325.0
mean,3.9485587767245556,4.115760049816647,7.035995295094444,1.7047117415069535,80.81662777278072,27.712294758463383,1.5756645679097765,2.1969833252611917,1.3571576835259116,1.3057136926589636,2.37474849512212,1.5582840932678337,3.4654397011001175,2.4072400193731407,1.4856458866671278,1.041383795751747,1.4307839202933648,4.45314052445859,1.3841389330934755,1.0326077630941672,28.75900920224175,1.066175880440047,1.1394174219885145,1.1089268663945202,1.0508046772296409,1.0886348854909016,1.3016702414723587,1.332849927350723,1.043495468068913,1.200957586660209,1.083993634539542,1.1430761779561336,1.0414806614543692,1.0592402961322909,6.99678405867294,1.0750792223067875,1.0539182176710717,1.7797855116584793
std,8.263892739511235,8.0815011308162,1.4558955364231057,0.10474020433727321,17.93055762237708,5.2026681124535035,0.49424239925158325,0.5138016969749573,0.479162506937067,0.4607096897293796,0.9607847071619212,0.49659203272918556,0.7831694810797454,1.3265038981366415,0.4997946085743423,0.19917652219787738,0.9516580644499356,1.0680738812172241,0.48639168159356044,0.1776079507867965,15.208982986748328,0.24858963034757148,0.34638206722014975,0.3115478659855633,0.21959894231239532,0.2842164072112949,0.7182610015983343,0.47123398411911355,0.2039699180479853,0.40071695675048674,0.2773786524444019,0.35015100254056114,0.1993994137891705,0.23607422071712048,3.7343327397339334,0.2635194961917188,0.22585655769175245,0.4143917744337091
min,0.0,0.0,1.0,1.35,27.22,12.759695290858726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,0.0,0.0,3.0,1.5,46.72,17.773061224489794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10%,0.0,0.0,5.0,1.57,58.97,21.474561292766065,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,0.0,0.0,6.0,1.63,68.04,23.917968749999993,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0
50%,0.0,0.0,7.0,1.7,79.38,27.19984850397677,2.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0
75%,3.0,4.0,8.0,1.78,90.72,31.070044036282887,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,41.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0
90%,15.0,15.0,8.0,1.83,104.33,35.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,49.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,12.0,1.0,1.0,2.0
99%,30.0,30.0,11.0,1.93,127.01,40.92017775401784,2.0,4.0,2.0,2.0,4.0,2.0,4.0,5.0,2.0,2.0,4.0,5.0,2.0,2.0,54.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,2.0,2.0,2.0
max,30.0,30.0,24.0,2.03,133.81,42.48668503213958,2.0,4.0,2.0,2.0,4.0,2.0,4.0,5.0,2.0,2.0,4.0,5.0,2.0,2.0,54.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,2.0,2.0,2.0
