,Number of Null Values
physicalhealthdays,0
mentalhealthdays,0
sleephours,0
heightinmeters,0
weightinkilograms,0
bmi,0
alcoholdrinkers_id,0
ecigaretteusage_id,0
pneumovaxever_id,0
hivtesting_id,0
removedteeth_id,0
fluvaxlast12_id,0
smokerstatus_id,0
generalhealth_id,0
sex_id,0
highrisklastyear_id,0
lastcheckuptime_id,0
raceethnicitycategory_id,0
chestscan_id,0
difficultydressingbathing_id,0
statename_id,0
difficultyerrands_id,0
difficultywalking_id,0
difficultyconcentrating_id,0
blindorvisiondifficulty_id,0
deaforhardofhearing_id,0
haddiabetes_id,0
hadarthritis_id,0
hadkidneydisease_id,0
haddepressivedisorder_id,0
hadskincancer_id,0
hadasthma_id,0
hadstroke_id,0
hadangina_id,0
agecategory_id,0
hadcopd_id,0
hadheartattack_id,0
physicalactivities_id,0
