,weekofmonth,weekofmonthclaimed,age,fraudfound_p,repnumber,driverrating,ageofpolicyholder_id,days_policy_claim_id,vehiclecategory_id,policytype_id,numberofsuppliments_id,witnesspresent_id,deductible_id,days_policy_accident_id,basepolicy_id,year_accident_id,vehicleprice_id,addresschange_claim_id,ageofvehicle_id,agenttype_id,policereportfiled_id,pastnumberofclaims_id,fault_id,monthclaimed_id,sex_id,make_id,numberofcars_id,month_accident_id,dayofweekclaimed_id,dayofweek_id,maritalstatus_id,accidentarea_id
count,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0,14873.0
mean,2.7924426813689234,2.6929335036643582,40.14926376655685,0.05936932696833188,8.478047468567203,2.4873260270288444,5.358770927183487,2.0022860216499696,2.283735628319774,4.93518456263027,2.230148591407248,1.0055805822631614,3.9406306730316683,3.9866872856854703,1.930881463053856,2.071875210112284,4.975862300813555,2.9326968331876553,5.351912862233577,1.0158676796880253,1.0277012035231627,2.3398776306057956,1.2756673166139985,6.5767498151011905,1.8383648221609628,11.304982182478316,4.833523835137497,6.57627916358502,4.050628655953742,4.024608350702615,1.887043636119142,1.1024003227324681
std,1.287750836175041,1.2606359584954503,11.55746289300907,0.23632258673361756,4.598110758303,1.1210928492833636,2.1522158904589372,0.07144961927587788,0.9457670071841494,2.7767419249938947,1.2579815478556748,0.07449706377821849,0.3146692471340585,0.20927975352236436,0.8431664581630878,0.7729005730908793,1.4276136004251587,0.35304233056663803,1.2601947922474426,0.12496778164501263,0.16412086366627268,1.0225706781979165,0.4468649386467724,3.453843818489231,0.3681281826035427,5.171264018129833,0.6154832206730738,3.4478723168412873,2.1377218091908587,2.029154656948475,1.3636286677106704,0.30318422948603463
min,1.0,1.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,1.0,1.0,21.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
10%,1.0,1.0,27.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0
25%,2.0,2.0,31.0,0.0,5.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,7.0,5.0,4.0,3.0,2.0,1.0,1.0
50%,3.0,3.0,38.0,0.0,8.0,2.0,5.0,2.0,3.0,5.0,2.0,1.0,4.0,4.0,2.0,2.0,6.0,3.0,5.0,1.0,1.0,2.0,1.0,7.0,2.0,12.0,5.0,7.0,4.0,4.0,1.0,1.0
75%,4.0,4.0,48.0,0.0,12.0,3.0,7.0,2.0,3.0,9.0,4.0,1.0,4.0,4.0,3.0,3.0,6.0,3.0,6.0,1.0,1.0,3.0,2.0,10.0,2.0,14.0,5.0,10.0,5.0,6.0,4.0,1.0
90%,5.0,4.0,57.0,0.0,15.0,4.0,8.0,2.0,3.0,9.0,4.0,1.0,4.0,4.0,3.0,3.0,6.0,3.0,6.0,1.0,1.0,4.0,2.0,11.0,2.0,18.0,5.0,11.0,7.0,7.0,4.0,2.0
99%,5.0,5.0,69.0,1.0,16.0,4.0,8.0,2.0,3.0,9.0,4.0,1.0,4.0,4.0,3.0,3.0,6.0,4.0,8.0,2.0,2.0,4.0,2.0,12.0,2.0,18.0,5.0,12.0,7.0,7.0,4.0,2.0
max,5.0,5.0,73.0,1.0,16.0,4.0,8.0,3.0,3.0,9.0,4.0,2.0,4.0,5.0,3.0,3.0,6.0,5.0,8.0,2.0,2.0,4.0,2.0,12.0,2.0,19.0,5.0,12.0,7.0,7.0,4.0,2.0
