,Number of Null Values
weekofmonth,0
weekofmonthclaimed,0
age,0
fraudfound_p,0
repnumber,0
driverrating,0
ageofpolicyholder_id,0
days_policy_claim_id,0
vehiclecategory_id,0
policytype_id,0
numberofsuppliments_id,0
witnesspresent_id,0
deductible_id,0
days_policy_accident_id,0
basepolicy_id,0
year_accident_id,0
vehicleprice_id,0
addresschange_claim_id,0
ageofvehicle_id,0
agenttype_id,0
policereportfiled_id,0
pastnumberofclaims_id,0
fault_id,0
monthclaimed_id,0
sex_id,0
make_id,0
numberofcars_id,0
month_accident_id,0
dayofweekclaimed_id,0
dayofweek_id,0
maritalstatus_id,0
accidentarea_id,0
