,Kurtosis Value
customer_lifetime_value,4.951101263039822
income,-1.0982382435800682
monthly_premium_auto,3.294374563804696
months_since_last_claim,-1.0701793202247722
months_since_policy_inception,-1.1368460526188735
number_of_open_complaints,7.725106702467096
number_of_policies,0.33059546639927717
total_claim_amount,1.4855989541670414
month_of_effective_to_date,0.33987849295041395
year_of_effective_to_date,0.0
d_o_m_of_effective_to_date,-1.5779582203506173
sales_channel_id,-1.323150540590916
policy_type_id,-0.3981882008329207
marital_status_id,-1.350244279138661
gender_id,-1.9987382142662948
customer_state_id,-0.4404275737807666
vehicle_size_id,0.34255028934672893
policy_name_id,-0.9991613316909298
education_id,-1.4243396343348291
renew_offer_type_id,-0.6895748188936452
employmentstatus_id,1.7756573189057137
vehicle_class_id,-0.6091146418702906
coverage_id,-1.429691238074004
location_code_id,-0.6353077117828496
