,Number of Null Values
customer_lifetime_value,0
response,0
effective_to_date,0
income,0
monthly_premium_auto,0
months_since_last_claim,0
months_since_policy_inception,0
number_of_open_complaints,0
number_of_policies,0
total_claim_amount,0
month_of_effective_to_date,0
year_of_effective_to_date,0
d_o_m_of_effective_to_date,0
sales_channel_id,0
policy_type_id,0
marital_status_id,0
gender_id,0
customer_state_id,0
vehicle_size_id,0
policy_name_id,0
education_id,0
renew_offer_type_id,0
employmentstatus_id,0
vehicle_class_id,0
coverage_id,0
location_code_id,0
