,crash_date,crash_time,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,crash_date_month,crash_date_year,crash_date_day_of_month,crash_time_hour,contributing_factor_vehicle_1_id,vehicle_type_code_1_id,contributing_factor_vehicle_2_id,vehicle_type_code_2_id,borough_id
count,1076745,1076745,1076745,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0,1076745.0
unique,4122,1440,233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
top,2014-01-21,16:00:00,11207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
freq,763,14798,20754,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mean,-,-,-,40.64127684793495,-73.77445910648844,0.26227565486721555,0.0006751830749156021,0.0031697384246037828,0.00012444914998444386,0.03393561149575805,0.00012723532498409558,0.22155849342230519,0.00040492409994938446,6.710087346586239,2016.3854849569768,15.618621864972672,13.333427134558322,31.16169102247979,674.1569591686053,36.106669638586666,894.7021068126622,2.7934905664758136
std,-,-,-,1.8174280931518254,3.297111172365767,0.6854886626312979,0.028302553712422393,0.06941468510076426,0.012784375783634708,0.18297694011364157,0.011361192984424184,0.6644924617300615,0.02137215853944417,3.3967404735707905,2.9317733263982175,8.756440477682942,5.596535982187265,18.53821544003754,346.4694836623447,9.606261116666065,434.9430884638558,1.2278737878680783
min,-,-,-,0.0,-74.25496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1%,-,-,-,40.550977904,-74.158875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012.0,1.0,0.0,3.0,176.0,3.0,244.0,1.0
10%,-,-,-,40.6211154,-74.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2013.0,4.0,6.0,3.0,176.0,34.0,244.0,1.0
25%,-,-,-,40.667114,-73.9773678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2014.0,8.0,10.0,15.0,176.0,38.0,414.0,2.0
50%,-,-,-,40.719624,-73.93096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2016.0,16.0,14.0,38.0,797.0,38.0,958.0,3.0
75%,-,-,-,40.7652848,-73.8705168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2018.0,23.0,17.0,38.0,980.0,38.0,1298.0,4.0
90%,-,-,-,40.83705468,-73.8065882,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2021.0,28.0,20.0,60.0,1009.0,38.0,1331.0,4.0
99%,-,-,-,40.889003692,-73.730034,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,12.0,2023.0,31.0,23.0,61.0,1009.0,60.0,1331.0,5.0
max,-,-,-,41.12615,0.0,43.0,8.0,15.0,6.0,4.0,2.0,43.0,3.0,12.0,2023.0,31.0,23.0,61.0,1023.0,60.0,1352.0,5.0
