,Kurtosis Value
latitude,495.14721739225394
longitude,496.3522747733645
number_of_persons_injured,62.20211611835768
number_of_persons_killed,8274.491322708525
number_of_pedestrians_injured,4645.8574982281725
number_of_pedestrians_killed,52419.6189160034
number_of_cyclist_injured,27.899362832858948
number_of_cyclist_killed,8410.211889212247
number_of_motorist_injured,69.1774938323319
number_of_motorist_killed,4479.440087681401
crash_date_month,-1.1505858295709046
crash_date_year,-0.6802018585017868
crash_date_day_of_month,-1.1773724544269288
crash_time_hour,-0.30059257716678944
contributing_factor_vehicle_1_id,-0.9565657840124544
vehicle_type_code_1_id,-1.4637783835846692
contributing_factor_vehicle_2_id,6.22135759902673
vehicle_type_code_2_id,-1.369644105070357
borough_id,-1.1911941694343857
