,Number of Null Values
crash_date,0
crash_time,0
zip_code,0
latitude,0
longitude,0
number_of_persons_injured,0
number_of_persons_killed,0
number_of_pedestrians_injured,0
number_of_pedestrians_killed,0
number_of_cyclist_injured,0
number_of_cyclist_killed,0
number_of_motorist_injured,0
number_of_motorist_killed,0
crash_date_month,0
crash_date_year,0
crash_date_day_of_month,0
crash_time_hour,0
contributing_factor_vehicle_1_id,0
vehicle_type_code_1_id,0
contributing_factor_vehicle_2_id,0
vehicle_type_code_2_id,0
borough_id,0
