,Kurtosis Value
customerid,-1.2345186407045146
tenure_months,-1.1196569917341006
quantity,3.4352491576669406
avg_price,-0.9984709740311186
delivery_charges,-1.6995005663740155
gst,-1.4222574970773854
offline_spend,0.11389269994717433
online_spend,-0.13231958957051715
transaction_month,-1.0830922243423884
customer_location_id,-1.0318447379770175
product_description_id,-1.244807902184586
product_category_id,0.26464778723565185
discount_pct_id,-1.5248844782157838
coupon_code_id,-1.2590681061171636
coupon_status_id,-0.8394580624407082
gender_id,-1.7484125276201812
product_sku_id,-1.2286334407264736
