,dateapproved,sbaofficecode,loanstatusdate,initialapprovalamount,currentapprovalamount,undisbursedamount,jobsreported,payroll_proceed,originatinglenderlocationid,forgivenessamount,forgivenessdate,dateapproved_month,dateapproved_year,dateapproved_day_of_month,loanstatusdate_month,loanstatusdate_year,loanstatusdate_day_of_month,forgivenessdate_month,forgivenessdate_year,forgivenessdate_day_of_month,cd_id,nonprofit_id,term_id,borrowerzip_id,borrowerstate_id,ethnicity_id,businesstype_id,naicscode_id,gender_id,borrowercity_id,processingmethod_id,loanstatus_id,veteran_id,servicinglenderlocationid_id,servicinglendername_id,race_id,borrowername_id
count,808164,808164.0,808164,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0,808164.0
unique,238,-,451,-,-,-,-,-,-,-,344,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
top,2020-05-01,-,2021-01-21,-,-,-,-,-,-,-,2020-11-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
freq,55441,-,13513,-,-,-,-,-,-,-,25118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mean,-,572.6355182858924,-,481226.1233394807,479756.16616787476,0.0,45.61978261837944,465280.28866730625,103953.55180507917,481669.6507473788,-,3.5827257833806008,2020.2637385481164,14.337649289005697,6.093323879806574,2021.064047643795,16.092325320108294,6.798037279562069,2020.8826129349984,15.62574799174425,222.54588425121634,1.9384308135477453,4.0146517291044885,210333.3726817824,23.673998099395668,1.7652493800763212,13.010543652031023,529.2746360887147,2.2824203998198387,13613.642004593126,1.7475858860330329,1.0,2.666617171762167,2155.8130305235077,2116.7127922055424,3.4036185724679644,366501.0111177929
std,-,261.03146248952737,-,533704.962434666,527066.8345168838,0.0,46.30885030911077,511073.96730200853,130131.6423083623,529490.2462425134,-,1.1669300099902764,0.4406594678725933,8.958870059194716,3.6933447923138845,0.4388531935470788,6.321227996795975,3.7329128031601795,0.46954500160980633,8.836344464202034,127.87554526582822,0.2403715732470438,3.2137452356151117,136325.50349658076,16.71396902020147,0.47231845198590033,4.673246396726357,337.5474008316327,0.9201671916503011,7867.504137614449,0.43439781598556315,0.0,0.5118504418284774,1239.7650102660496,1120.3607334034248,0.9049521149347624,212214.8283657032
min,-,101.0,-,0.0,150000.0,0.0,0.0,0.0,20.0,10.89,-,1.0,2020.0,1.0,1.0,2020.0,1.0,1.0,2020.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,-,101.0,-,150000.0,150578.63,0.0,7.0,126975.0,3386.0,151142.09840000002,-,1.0,2020.0,1.0,1.0,2020.0,3.0,1.0,2020.0,1.0,6.0,1.0,2.0,2536.0,1.0,1.0,5.0,7.0,1.0,251.0,1.0,1.0,1.0,33.0,54.0,3.0,7120.0
10%,-,219.0,-,166300.0,166700.0,0.0,13.0,162000.0,12096.0,167190.351,-,1.0,2020.0,3.0,1.0,2021.0,7.0,1.0,2020.0,3.0,47.0,2.0,2.0,27288.300000000003,1.0,1.0,9.0,103.0,1.0,2688.0,1.0,1.0,2.0,480.0,556.0,3.0,72437.3
25%,-,373.0,-,200000.0,200000.0,0.0,18.0,194650.375,29805.0,201070.175,-,4.0,2020.0,7.0,3.0,2021.0,11.0,3.0,2021.0,8.0,110.0,2.0,2.0,84889.0,8.0,1.0,9.0,223.0,1.0,6713.0,1.0,1.0,2.0,1086.0,1179.0,3.0,182651.0
50%,-,515.0,-,292615.5,292401.495,0.0,30.0,283998.0,56102.0,293602.515,-,4.0,2020.0,13.0,6.0,2021.0,17.0,7.0,2021.0,15.0,224.0,2.0,2.0,206980.5,23.0,2.0,10.0,511.0,3.0,13579.0,2.0,1.0,3.0,2051.0,2240.0,3.0,366419.5
75%,-,768.0,-,525000.0,524000.0,0.0,52.0,508730.5,110481.0,526355.5750000001,-,4.0,2021.0,22.0,9.0,2021.0,21.0,11.0,2021.0,23.0,333.0,2.0,9.0,330018.0,39.0,2.0,18.0,821.0,3.0,20411.0,2.0,1.0,3.0,3045.0,3112.0,3.0,550225.25
90%,-,931.0,-,1001427.1000000002,1000000.0,0.0,99.0,970217.2000000011,368915.0,1004701.7670000002,-,5.0,2021.0,28.0,12.0,2022.0,24.0,12.0,2021.0,28.0,395.0,2.0,9.0,403454.70000000007,46.0,2.0,18.0,1008.0,3.0,24726.0,2.0,1.0,3.0,3929.0,3641.0,5.0,660668.7000000001
99%,-,1087.0,-,2715154.01,2687873.999999999,0.0,249.0,2589129.9699999997,509316.0,2700270.3953999993,-,6.0,2021.0,30.0,12.0,2022.0,30.0,12.0,2022.0,31.0,441.0,2.0,9.0,446218.37,55.0,3.0,18.0,1142.0,3.0,26872.369999999995,2.0,1.0,3.0,4446.0,4027.0,7.0,726840.37
max,-,1094.0,-,10000000.0,10000000.0,0.0,300.0,10000000.0,533279.0,10174794.52,-,8.0,2021.0,31.0,12.0,2022.0,31.0,12.0,2022.0,31.0,445.0,2.0,19.0,451976.0,56.0,3.0,25.0,1165.0,3.0,27141.0,2.0,1.0,3.0,4549.0,4062.0,9.0,734179.0
