,Kurtosis Value
sbaofficecode,-0.9247856465032736
initialapprovalamount,32.39870696137154
currentapprovalamount,30.235366024913915
undisbursedamount,0.0
jobsreported,7.694798262233698
payroll_proceed,30.418804298369103
originatinglenderlocationid,2.888635352390639
forgivenessamount,29.85503702407093
dateapproved_month,0.7381890691416433
dateapproved_year,-0.8501508412056764
dateapproved_day_of_month,-1.0552001179224324
loanstatusdate_month,-1.3227194418007673
loanstatusdate_year,1.9897230642202954
loanstatusdate_day_of_month,-0.5488512109082246
forgivenessdate_month,-1.3505639189890242
forgivenessdate_year,1.0719972611231032
forgivenessdate_day_of_month,-1.19821926416389
cd_id,-1.2175885410183744
nonprofit_id,11.307576791929826
term_id,-0.6459833086466342
borrowerzip_id,-1.2676544666399459
borrowerstate_id,-1.2672315451359208
ethnicity_id,-0.17413165510353235
businesstype_id,-1.5781560479960277
naicscode_id,-1.2277802768485584
gender_id,-1.560893030759435
borrowercity_id,-1.212787275033062
processingmethod_id,-0.7006143620854308
loanstatus_id,0.0
veteran_id,0.20240671227741291
servicinglenderlocationid_id,-1.0409881044726819
servicinglendername_id,-1.1134030732723
race_id,9.01455326824564
borrowername_id,-1.2005914687307468
