,Number of Null Values
dateapproved,0
sbaofficecode,0
loanstatusdate,0
initialapprovalamount,0
currentapprovalamount,0
undisbursedamount,0
jobsreported,0
payroll_proceed,0
originatinglenderlocationid,0
forgivenessamount,0
forgivenessdate,0
dateapproved_month,0
dateapproved_year,0
dateapproved_day_of_month,0
loanstatusdate_month,0
loanstatusdate_year,0
loanstatusdate_day_of_month,0
forgivenessdate_month,0
forgivenessdate_year,0
forgivenessdate_day_of_month,0
cd_id,0
nonprofit_id,0
term_id,0
borrowerzip_id,0
borrowerstate_id,0
ethnicity_id,0
businesstype_id,0
naicscode_id,0
gender_id,0
borrowercity_id,0
processingmethod_id,0
loanstatus_id,0
veteran_id,0
servicinglenderlocationid_id,0
servicinglendername_id,0
race_id,0
borrowername_id,0
