,Kurtosis Value
police_force,0.3968374271309201
number_of_vehicles,1.1354452872636287
number_of_casualties,4.340104509949073
day_of_week,-1.2044749686137668
first_road_class,-1.1352619938059128
first_road_number,4.828668630505403
second_road_class,-1.8810759764556364
event_date_month,-1.1676050152505837
event_dateyear,0.0
event_date_day_of_month,-1.2415707906385085
event_time_hour_of_day,-0.11144629627205482
light_conditions_id,0.8042608298077831
weather_conditions_id,3.8869642861118683
road_surface_conditions_id,0.05494432101649105
did_police_officer_attend_scene_of_accident_id,0.6813128184701269
carriageway_hazards_id,21.075208500106672
road_type_id,2.1592277584464403
local_authority_district_id,-1.1921024387078403
pedestrian_crossing_physical_facilities_id,4.908492390537379
state_name_id,3.0954253387536514
local_authority_highway_id,-1.1086647556845415
speed_limit_id,0.05510390408394228
pedestrian_crossing_human_control_id,15.257751797355713
special_conditions_at_site_id,5.553674005141065
