,Number of Null Values
police_force,0
number_of_vehicles,0
number_of_casualties,0
event_date,0
day_of_week,0
event_time,0
first_road_class,0
first_road_number,0
second_road_class,0
urban_or_rural_area,0
postcode,0
event_date_month,0
event_dateyear,0
event_date_day_of_month,0
event_time_hour_of_day,0
light_conditions_id,0
weather_conditions_id,0
road_surface_conditions_id,0
did_police_officer_attend_scene_of_accident_id,0
carriageway_hazards_id,0
road_type_id,0
local_authority_district_id,0
pedestrian_crossing_physical_facilities_id,0
state_name_id,0
local_authority_highway_id,0
speed_limit_id,0
pedestrian_crossing_human_control_id,0
special_conditions_at_site_id,0
