,stories,nr_of_rms,fin_sqft,units,bdrms,fbath,hbath,lotsize,sale_date,sale_price,month_sale_price,year_sale_price,proptype_id,year_built_id,nbhd_id,district_id,house_style_id
count,28848.0,28848.0,28848.0,28848.0,28848.0,28848.0,28848.0,28848.0,28848,28848.0,28848,28848,28848.0,28848.0,28848.0,28848.0,28848.0
unique,-,-,-,-,-,-,-,-,202,-,1,1,-,-,-,-,-
top,-,-,-,-,-,-,-,-,2018-05,-,,sale_date,-,-,-,-,-
freq,-,-,-,-,-,-,-,-,503,-,28848,28848,-,-,-,-,-
mean,1.283451192457016,0.6688851913477537,1413.8829728230726,1.1569606211869108,2.9626663893510816,1.3687603993344426,0.31187603993344426,4825.852953410982,-,133212.22088186356,-,-,2.7358222407099277,91.95067249029395,242.37926372712147,7.4580213533000554,56.240640599001665
std,0.4372116256355046,1.5900336912508206,528.714563289563,0.3938763375145111,1.2226526881517363,0.593207728618883,0.49886518943723956,2779.865351428795,-,63325.13759007097,-,-,0.8345193526109201,47.52005333274902,133.3554178460967,4.331207307357729,33.521620106406644
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,-,1.0,1.0,1.0,1.0,1.0
1%,1.0,0.0,638.0,1.0,0.0,0.0,0.0,0.0,-,17000.0,-,-,1.0,4.0,9.0,1.0,7.0
10%,1.0,0.0,889.0,1.0,2.0,1.0,0.0,0.0,-,55000.0,-,-,1.0,24.0,49.0,2.0,9.0
25%,1.0,0.0,1040.0,1.0,2.0,1.0,0.0,3600.0,-,89500.0,-,-,3.0,56.0,138.0,4.0,26.0
50%,1.0,0.0,1262.0,1.0,3.0,1.0,0.0,5000.0,-,128000.0,-,-,3.0,85.0,246.0,7.0,57.0
75%,1.5,0.0,1674.0,1.0,4.0,2.0,1.0,6475.5,-,167500.0,-,-,3.0,141.0,356.0,11.0,90.0
90%,2.0,4.0,2196.0,2.0,4.0,2.0,1.0,8100.0,-,220000.0,-,-,3.0,156.0,421.0,14.0,104.0
99%,2.0,6.0,3026.0,2.0,6.0,3.0,2.0,11398.589999999997,-,308905.99999999977,-,-,5.0,161.0,472.0,15.0,114.0
max,3.5,9.0,3292.0,8.0,7.0,5.0,3.0,12526.0,-,337500.0,-,-,5.0,162.0,497.0,15.0,118.0
