,product_name,duration,net_sales,commission,age,agency_type_id,distribution_channel_id,claim_id,agency_id,destination_id
count,55904,55904.0,55904.0,55904.0,55904.0,55904.0,55904.0,55904.0,55904.0,55904.0
unique,26,-,-,-,-,-,-,-,-,-
top,Cancellation Plan,-,-,-,-,-,-,-,-,-
freq,17652,-,-,-,-,-,-,-,-,-
mean,-,48.91891456783057,39.959261054664765,9.036046794505738,36.94354607899256,1.2452418431597023,1.99203992558672,1.014346021751574,8.603337864911277,98.54502361190613
std,-,104.01320020829964,47.437791812814396,19.44456511759211,6.682963475328119,0.4302343461242593,0.08886423851018302,0.11891369287594505,3.262003004078597,34.86014813779704
min,-,0.0,-389.0,0.0,23.0,1.0,1.0,1.0,1.0,1.0
1%,-,1.0,-9.9,0.0,24.0,1.0,2.0,1.0,1.0,7.0
10%,-,5.0,10.0,0.0,29.0,1.0,2.0,1.0,1.0,31.0
25%,-,9.0,18.0,0.0,35.0,1.0,2.0,1.0,7.0,91.0
50%,-,22.0,26.0,0.0,36.0,1.0,2.0,1.0,10.0,113.0
75%,-,53.0,47.5,9.57,38.0,1.0,2.0,1.0,10.0,125.0
90%,-,108.0,80.0,29.7,48.0,2.0,2.0,1.0,11.0,125.0
99%,-,373.0,252.85,83.25,54.0,2.0,2.0,2.0,14.0,141.0
max,-,4881.0,682.0,262.76,55.0,2.0,2.0,2.0,15.0,146.0
