Claim Number,City Code,City,Enterprise Type,Claim Type,Claim Site,Product Insured
DQW1NZO0PL,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
JS5GAPRN5B,BOM,Mumbai,One Person Company,Property Loss,In Transit,Cameras and other Misc. Security Equipment
ZTSVAQSEAQ,LKO,Lucknow,Public Limited Company,Property Loss,In Transit,Fixtures
EW7NWHI7LI,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Pumps and Motors
UJOFDC41EL,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
IXZ4B1B9NO,MAA,Chennai,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
FB07DWHGHF,BDQ,Vadodara,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
O9GKQUST4D,ATQ,Amritsar,Partnership Firm,Property Damage,In Transit,Misc. Electronic Items
O7ILLLY1DI,BLR,Bangalore,Private Limited Company,Property Loss,In Transit,Fixtures
BPOBX1AAGE,AMD,Ahmedabad,Foreign Subsidary,Property Damage,In Transit,Misc. Electronic Items
LGJA7FUGZC,LKO,Lucknow,Partnership Firm,Property Loss,In Transit,Inventory - Finished Goods
NUXFPG9ZR7,DEL,Delhi,Cooperative Society,Property Damage,Warehouse,Inventory - Raw Material
0S0UBKY90M,MAA,Chennai,Sole Proprietorship,Property Loss,Warehouse,Inventory - Raw Material
LDQJM8OGTP,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Misc. Electrical Equipment
CLUUJGQZ6M,PAT,Patna,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
350WWC8Y14,BLR,Bangalore,Foreign Subsidary,Property Damage,In Transit,Fixtures
MNDBA5DU9T,BLR,Bangalore,Public Limited Company,Property Damage,In Transit,Furniture
F313K1EP0M,LKO,Lucknow,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
MRDSXKOOAE,BDQ,Vadodara,Non-Profit Organization (NPO),Property Loss,Warehouse,Furniture
3583IIENE4,PNQ,Pune,Private Ltd. MSME - Small,Property Loss,In Transit,Misc. Engineering Tools
5UP9WKJIOS,LKO,Lucknow,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
EAL0NOMCJ0,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Misc. Engineering Tools
W7GMRAJE0J,AMD,Ahmedabad,Public Limited Company,Property Damage,In Transit,Inventory - Raw Material
1WRS1EREMN,JAI,Jaipur,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
CKWFNRACVO,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
P93TIXEUSB,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
0Y9Y75J28R,IDR,Indore,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
EEGAEZ9EKA,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
URA9A4ITUM,PAT,Patna,Sole Proprietorship,Property Loss,In Transit,Inventory - Finished Goods
NSM9U6U7LN,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
IB3Q50HBCF,PNQ,Pune,Partnership Firm,Property Loss,In Transit,Misc. Electrical Equipment
T7YA3BNOGX,HYD,Hyderabad,Sole Proprietorship,Property Damage,In Transit,Inventory - Finished Goods
9WQ6CF83JE,LKO,Lucknow,Non-Profit Organization (NPO),Property Loss,In Transit,Furniture
AJPS0I8MKN,ATQ,Amritsar,Sole Proprietorship,Property Loss,In Transit,Misc. Electrical Equipment
OZ3XKSLQ25,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
NG9N4IPIG3,IDR,Indore,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Sensors
L3OXVMDVIJ,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Raw Material
LIVCMSUSOY,VSK,Visakhapatnam,Partnership Firm,Property Loss,In Transit,Misc. Engineering Tools
SRT0RR9KL8,LKO,Lucknow,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
O9Q6F2DX3Y,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Inventory - Finished Goods
PIGEZNOB5A,PNQ,Pune,Private Ltd. MSME - Small,Property Loss,In Transit,Misc. Electrical Equipment
J23YEKTM4I,DEL,Delhi,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
7HSND4GU8K,PNQ,Pune,Partnership Firm,Property Loss,In Transit,Misc. Engineering Tools
9N2IKKB5AQ,HYD,Hyderabad,One Person Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
3UEPNCKAGI,PNQ,Pune,Partnership Firm,Property Loss,Warehouse,Misc. Sensors
OBXP0ZYRHY,ATQ,Amritsar,Private Ltd. MSME - Medium,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
4UQ133AMG9,THN,Thane,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
LI6VGKGC1L,BLR,Bangalore,Joint-Venture Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
PGV99XWO2B,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Furniture
7DOHMGKIKX,PNQ,Pune,Partnership Firm,Property Damage,In Transit,Misc. Electronic Items
ADRXIFTCBS,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
0NITZL8U3M,BOM,Mumbai,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
7POF8YDQKV,THN,Thane,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
NXNWVZ769X,BOM,Mumbai,One Person Company,Property Loss,Warehouse,Misc. Electronic Items
5CCP6MH2DO,PNQ,Pune,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
