Claim Number,Claim Amount,Close Amount,Disposition
Y5VA9KOE89,100.0,0.0,Deny
P51DOJLR8W,199.99,0.0,Deny
OUUZFP7EFL,410.0,59.85,Settle
CGP3L1CCP2,240.0,0.0,Deny
JDFLPD7J9Z,11.36,11.36,Approve in Full
D65MQH4I6W,320.0,0.0,Deny
ZPKR2CVAMF,94.47,47.24,Settle
4WYIRYQRHX,20.0,0.0,Deny
B7S44VOR5I,400.0,50.0,Settle
IWCT4R2UPF,200.0,100.0,Settle
7JKJ6GPP0U,110.0,55.0,Settle
E1WR2MBZYZ,299.0,194.84,Settle
7W4UAW5ZZB,79.99,19.26,Settle
5574LT88TD,50.0,50.0,Approve in Full
C5477HM37F,50.0,25.0,Settle
WFCJAXBLK9,250.0,0.0,Deny
6XYO5XU2YZ,25.0,25.0,Approve in Full
6NXJ9LC81W,18.84,0.0,Deny
A1H0FVXER5,299.99,0.0,Deny
FIKE9NV66V,10.0,0.0,Deny
OAJMNHZLD2,3000.0,0.0,Deny
K4OLF6LF35,89.95,50.0,Settle
OERMEV5EJW,125.0,0.0,Deny
4Y4WYIHC6E,10.0,10.0,Approve in Full
54Z7OD6NYP,130.0,0.0,Deny
W8LBR76YYL,42.49,42.0,Approve in Full
6UZ72YOS54,500.0,0.0,Deny
H7WYLP2GL2,15.11,15.11,Approve in Full
UVJZR4K5Z8,2566.0,0.0,Deny
I2P86SRDVJ,650.0,149.01,Settle
IFM4QHE6XW,802.24,786.39,Settle
UHM4KS0279,9900.0,0.0,Deny
ZW7X8V7Y9W,3604.33,3604.33,Approve in Full
Y2SR06XPFV,99.0,99.0,Approve in Full
41CP13EKDX,2600.0,868.25,Settle
MTGV6ZYT41,757.74,757.74,Approve in Full
4UO5WBVUQK,27.15,27.15,Approve in Full
QX4OGDBT15,336.69,0.0,Deny
8HENM17XU7,100.0,50.0,Settle
MDLH4FMUGK,30.0,15.0,Settle
3CL33BI2JT,140.0,0.0,Deny
UE616ZMMH8,800.99,0.0,Deny
RIXVVR5KX2,175.0,0.0,Deny
34V7HG6HVD,88.0,88.0,Approve in Full
E0K1O8PMEC,70.0,0.0,Deny
QHG87UN2U8,300.0,0.0,Deny
PB5ZS9IFGO,64.0,64.0,Approve in Full
9HCQNPHAAU,307.29,0.0,Deny
EOBD9P40J4,200.0,0.0,Deny
